Title,Mileage,Year,Engine,Location,Price
MERCEDES-BENZ C-CLASS,"92,772",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"89,133",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"79,993",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"34,258",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"28,950",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"102,185",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"31,183",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"36,145",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"130,991",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"87,141",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"68,237",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"14,873",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"35,938",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"37,320",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"38,478",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"66,629",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"88,376",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"80,000",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"39,317",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"119,098",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"107,867",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"59,203",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"55,300",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"132,898",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"50,477",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"42,856",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"30,154",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"135,418",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"93,800",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"83,500",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"10,685",2021,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"71,713",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"45,008",2018,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"89,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"47,424",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"86,700",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"168,727",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"45,709",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"113,012",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"74,954",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"3,753",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"12,157",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"30,420",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"103,359",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"76,862",2018,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"54,272",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"88,287",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"51,339",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"42,935",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"54,464",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"51,916",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"21,778",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"19,950",2021,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"99,120",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"56,147",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"60,146",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"30,656",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"84,233",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"79,831",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"42,900",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"73,460",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"183,663",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,490",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"39,137",2019,"1,998cc",Korea
MERCEDES-BENZ C-CLASS,"35,952",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"56,601",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"45,000",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"84,000",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"67,604",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"136,051",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"54,322",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"99,655",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"65,312",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"220,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"144,890",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"50,000",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"40,386",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"115,224",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"145,645",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"170,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"51,804",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"89,748",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"73,813",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"32,626",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"19,563",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"10,363",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"64,243",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"143,950",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"56,465",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"54,633",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"98,200",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"16,563",2017,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"29,000",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"97,029",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"56,606",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"35,600",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"87,739",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"107,875",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"23,585",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"13,157",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"143,555",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"74,210",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"41,000",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"66,206",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"100,738",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"15,463",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"65,953",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"90,826",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"130,087",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"68,743",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"117,000",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"54,776",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"79,000",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"29,187",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"59,229",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,032",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"80,040",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"40,043",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"40,916",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"123,004",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"30,711",2018,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"31,482",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"55,607",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"80,092",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"48,259",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"92,978",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"104,399",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"82,374",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"16,759",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"118,216",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"89,838",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"31,342",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"107,942",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"77,187",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"106,866",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"125,839",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"86,000",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"87,083",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"8,000",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"46,105",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"150,000",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"77,924",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"79,639",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"91,939",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"77,000",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"119,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"57,785",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"40,166",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"134,550",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"151,056",2017,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"89,936",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"98,405",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"125,342",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"174,000",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"53,262",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"93,983",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"15,876",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"72,527",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"76,989",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"134,184",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"7,156",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"44,757",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"117,547",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"120,000",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"85,662",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"53,354",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"34,340",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"44,815",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"79,915",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"151,354",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"70,205",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"8,439",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"137,173",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"37,903",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"89,000",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"72,083",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"81,000",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"98,171",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"55,177",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"105,500",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"55,000",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"216,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"50,453",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"21,375",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"125,300",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"75,533",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"27,251",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"71,955",2017,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"60,127",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"18,780",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"91,300",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"91,176",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"128,401",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"136,866",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"206,123",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"30,778",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"127,828",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"53,168",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"21,074",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"53,415",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"54,000",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"29,512",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"83,594",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"53,255",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"90,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"57,526",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"82,128",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"58,098",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"67,000",2017,"1,991cc",Korea
MERCEDES-BENZ G-CLASS,"23,500",2019/2,"4,000cc",Osaka
MERCEDES-BENZ C-CLASS,"41,818",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"45,725",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"104,200",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,571",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"63,675",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"60,263",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"174,326",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"30,724",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"209,481",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"333,440",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"20,981",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"20,583",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"91,907",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"74,000",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"22,862",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"106,381",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"35,022",2018,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"48,914",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"142,467",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"59,235",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"51,925",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"49,298",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"92,213",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"22,183",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"138,160",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"49,732",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,412",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"65,436",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"214,218",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"35,345",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"95,800",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"9,870",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"120,663",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"36,523",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"74,066",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"69,686",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"13,000",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"43,389",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"29,627",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"23,984",2018,"2,143cc",Korea
